"gamma" "alpha"
0.79737625 0.791185794360722
0.87630125 0.868916744379654
0.8049525 0.799350072437715
0.86161875 0.854217900665744
0.785395 0.780091473476863
0.8263475 0.820414974400751
0.85285625 0.845267391199512
0.81460875 0.808217121237645
0.827545 0.820942306052438
0.81246875 0.80611488983972
0.79167375 0.786217095196608
0.84315 0.836306113655741
0.79516875 0.789742469083545
0.87267 0.864908176717061
0.81400125 0.808076724457459
0.83589625 0.830334466929371
0.80812 0.801890002797622
0.8037875 0.798169825873471
0.83162 0.825472132330782
0.83779625 0.830938537382736
0.8181575 0.812579054947883
0.81997375 0.814432037076877
0.81744 0.810981464211656
0.85876 0.851919826764539
0.86758125 0.859964878326419
0.83927625 0.832721786641805
0.81355625 0.806990174446989
0.817745 0.811586854894566
0.8359975 0.82919747313834
0.84551625 0.838484152346098
0.8741075 0.866857826482767
0.84757375 0.841199608226879
0.8311925 0.824622049841424
0.8072625 0.80136816381654
0.83861875 0.832366119242441
0.81314875 0.806483255295268
0.83820625 0.831337991025489
0.86660125 0.858994826661694
0.8390675 0.83235178932987
0.81972125 0.814099733560456
0.80242375 0.796551024101762
0.79524375 0.789749099986496
0.82369125 0.817404008873871
0.849935 0.842812485916274
0.84704125 0.840421841018895
0.80172875 0.796599204303121
0.80653875 0.800905369741306
0.82295375 0.816681366874184
0.82244375 0.816104743031237
0.81325875 0.80777542921777
0.80382625 0.798030598877295
0.82081375 0.814936941105286
0.82952125 0.823265328073963
0.85656125 0.84953453330552
0.8195025 0.813238412376418
0.78239125 0.775438052397208
0.82686875 0.819825012599613
0.8860025 0.87845684631662
0.81778625 0.811333831453641
0.849755 0.842758682025278
0.82940375 0.822975803331681
0.824695 0.818096653491953
0.88246625 0.874982405432536
0.81617625 0.809646911396745
0.84507625 0.83770479094251
0.805835 0.79929257084817
0.8058675 0.800739949201311
0.828875 0.82272185037886
0.85614125 0.84914426213452
0.8142925 0.807647966942357
0.81120375 0.805480190700515
0.80126125 0.794659308663102
0.81524625 0.809822471546111
0.80190875 0.796417245397792
0.82235375 0.816344571408181
0.83408625 0.826893341108527
0.81727375 0.811677179450223
0.8396675 0.83250152910568
0.87864125 0.87139481048696
0.81927375 0.813422821695959
0.86779125 0.860282455793351
0.80638875 0.800604880058453
0.8327525 0.826409142547286
0.82976125 0.82332933826659
0.8193925 0.812721936858329
0.80181125 0.795526751687448
0.7689875 0.763117262442065
0.799435 0.7940362689484
0.81404 0.807938887148952
0.8040975 0.799187261139318
0.87447625 0.867058057106592
0.8092025 0.803201022501172
0.8506375 0.8441058108751
0.8008325 0.794975801407044
0.84320125 0.836191092830965
0.840455 0.833800561627957
0.84974125 0.843671652092029
0.8812575 0.874263218695336
0.81558125 0.810009539832765
0.8297575 0.824004320662943
