"drpm" "wddp" "lddp" "gmddp" "indcrp" "longcrp"
1477.37170522616 2153.78452805631 1527.27010732896 2141.52636230131 1561.66982495429 1542.10057627062
1502.93587617672 2172.91847395105 1401.97176547839 2164.67078115039 1595.34565019388 1560.96775033697
1486.39407618525 2168.46651517186 1498.62294759505 2167.95476483827 1510.5712841776 1529.59094133215
1500.28911497575 2132.64385504354 1420.66941890507 2136.57737454591 1525.68338677395 1515.5399385107
1536.44679667073 2136.52706367894 1448.92606653335 2131.78599577133 1547.07666338124 1528.98371057097
1580.07888276755 2212.71699869137 1578.03429730781 2196.65351200342 1601.16714682819 1592.03337289936
1542.20551273517 2143.2484853016 1394.60194569709 2162.07351412574 1580.72133162818 1570.49453843495
1486.82546670439 2171.14495577721 1441.23532480587 2150.73780611679 1534.89965634591 1577.14325837443
1529.01395200503 2137.89033865317 1541.18497912061 2128.35777554916 1529.68041913098 1502.1842208717
1527.31667804031 2141.25936303571 1414.49470340102 2151.86479097862 1552.24215598428 1526.97306996937
1532.7842717674 2131.97349562587 1476.24069060326 2155.69957860452 1583.83497301743 1559.65329019692
1565.88779749981 2130.76352215052 1429.16892723109 2119.71995612746 1550.7161811691 1542.63971421539
1558.55596082483 2147.54633826959 1421.20322387607 2132.08417522774 Inf 1558.01121509481
1522.73287412232 2130.14220891239 1473.58897259958 2118.65213722483 1545.93873901571 1512.13153673807
1468.78170027731 2127.58450903508 1527.71077187981 2151.54143213185 1557.72501831598 1537.26704355974
1538.14638428952 2178.55096534925 1335.81694868833 2163.39180201768 1548.48580628631 1532.63954840419
1470.61033926993 2159.82153330577 1490.35369269813 2151.05710373462 1570.15730986239 Inf
1591.11763966276 2163.40781542517 1510.53827838607 2148.73633187048 1587.13440515588 1570.69877059175
1519.33257266582 2178.30619317114 1510.46178248713 2183.63180103568 1560.85874032485 1548.77528273784
1551.19892545697 2138.92625495713 1504.827581882 2145.58877988538 1558.37389459747 1549.73802727294
1525.68579152252 2170.12565350269 1490.32509655685 2174.34015015881 1589.03039551871 1577.98983494293
1611.03228867814 2149.2160493182 1576.52363577807 2166.18626830852 1564.53000563907 1577.85509553043
1456.0972381227 2150.01339454588 1419.26385488429 2152.71612556196 1516.49260143734 1513.64955300168
1618.63461341347 2122.33919742517 1414.41605274622 2131.6038818441 1565.55687427801 1561.51346260813
1534.38362058647 2153.89492703208 1472.60330294826 2173.30767364106 1575.96615862628 1560.89502073391
1441.010899327 2134.69700536648 1458.55488930454 2129.18369338399 Inf 1500.39355364793
1506.36292942333 2128.85418213381 1361.13389087941 2118.52771908746 1570.75062174144 1553.54009046507
1544.43703305592 2179.38458849397 1484.39318013377 2160.53596742485 1569.58515544346 1550.42074387126
1574.50998181239 2138.16251759587 1474.11912261509 2135.16497857385 1550.97879968468 1540.55162805626
1488.67120250412 2138.15214959954 1470.12323990234 2137.13579416884 1510.34325358737 1539.61241383967
1576.36490662786 2186.41892715907 1413.98722113394 2204.69596069539 1612.12455665011 1588.07261150523
1436.88820032709 2132.73864273746 1376.73851754718 2123.0363206904 1537.06410456498 1519.41935747676
1496.44761915998 2136.50786275521 1507.83421981784 2143.28136044576 1558.07866501514 1552.39964856151
1461.78699524225 2159.80730663413 1468.52057499328 2149.8201454233 1562.48653440513 1557.93464399473
1564.58700345324 2130.84279242509 1424.07548730255 2118.12442461353 1536.47170759324 1543.23274844983
1592.49020637692 2153.60617811109 1454.99407580573 2157.90927216225 1581.63275381146 1558.6629700351
1475.03182899984 2160.68300801751 1515.68199759211 2175.89607965711 Inf 1553.48938214972
1477.76525406736 2119.88528321829 1419.66142299648 2112.06212366929 Inf 1464.41203561462
1494.73915339585 2139.01730332222 1488.83792702889 2130.25984585945 1565.93519782464 1554.03306963817
1641.85441963426 2181.10734865356 1541.18855904462 2187.97905907181 1606.43871748433 1598.56590867288
1559.45919557331 2179.17767829945 1480.28589304137 2192.02957916563 1560.44677248858 1567.29013951052
1508.17728197709 2165.8946364998 1519.61976280294 2187.50224216606 1573.70111866556 1555.60729761881
1494.10001930522 2140.48285698732 1471.40801135808 2127.97885294402 Inf 1546.56528754888
1542.56206568208 2141.42116735867 1421.72019456182 2152.17169799131 1542.62992858439 1539.97386384498
1588.01751707981 2205.05379448952 1449.79990695671 2190.3799820779 1603.28170718365 1582.64113589125
1571.52603726322 2167.90734219676 1506.65469296727 2152.23225118591 1573.34510491848 1578.36681056705
1512.67442710582 2142.59321538143 1509.81805828574 2153.34031007091 Inf 1515.16185180504
1535.96582319653 2104.41306592371 1399.58527572155 2117.65056443262 1542.29138009651 1536.41795849899
1489.2462144179 2159.55786785155 1416.97048186179 2163.02370938912 1564.41220293013 1547.08580341596
1424.99889920342 2111.43732129916 1332.36402433825 2101.68997167546 Inf 1491.57980500362
1510.85889881671 2145.48051649843 1448.49260815267 2158.98516000351 Inf 1543.79290884753
1627.93368690665 2152.02139812525 1534.65856012619 2148.28941033637 1622.59525735537 1588.41997884717
1469.55577183321 2131.57255052142 1354.08960634767 2136.26853263973 Inf 1530.47545162061
1517.38921070875 2177.15740701802 1415.75430388263 2168.26661431975 1567.09714839614 1567.02248315744
1496.67374768233 2127.04736411882 1474.10871347383 2133.13556419289 1530.70758835812 1514.40794189548
1522.1672933491 2130.5462137231 1505.02615855321 2140.43370322357 1563.73113200332 1528.65403104678
1515.83898931707 2149.93993006763 1541.22843679421 2160.24760581311 Inf 1545.7880526384
1513.61289422848 2174.65880638553 1459.56213400931 2156.71406574404 Inf 1549.47540575609
1524.7276727094 2149.77932104703 1481.51877065251 2154.34735559362 1530.06757795717 1546.43117887025
1588.14482297464 2160.16273587989 1516.98733263488 2168.98589584285 1603.46461221026 1568.44888044922
1445.74638334754 2093.78511234295 1436.33179759276 2109.60302538548 1530.3044400892 1515.17877057603
1489.50394763624 2105.49979691626 1421.26674671146 2125.11330308798 1515.60078376506 1499.30608274389
1482.76836871148 2163.32681109322 1410.76768018675 2165.53775544322 1548.93668387567 1527.65236208246
1546.01272083392 2133.12981235245 1406.01406009329 2150.80962080405 1542.73326845883 1545.00713736387
1568.54308897372 2184.90855248173 1500.13348510288 2184.34426836143 Inf 1589.10318058925
1542.09502212611 2133.83280212643 1456.34934975968 2146.89438597837 1562.10286185848 1541.16849838781
1545.58333540234 2164.86622173036 1416.47020696704 2146.89155973665 1561.20559391975 1561.90137103626
1502.17731058009 2192.47266796161 1447.46225485176 2153.11109899978 1572.75628620967 1565.01854243496
1555.29640078373 2169.61821695703 1503.49801632812 2226.82645216565 1573.9454324548 1600.35516671668
1518.95026172571 2115.51827198606 1405.73137668151 2110.86756021794 1514.94372823917 1525.08132087016
1451.67106579955 2109.25104401665 1421.0359852176 2119.14182665705 1535.52242321553 1511.4943146253
1554.9975526385 2121.82455697236 1445.03217087751 2126.83180006116 1515.26734652127 1498.54584693489
1510.88509377855 2156.36524237763 1507.24600232826 2149.84139016821 1548.03156392998 1525.3346146365
1426.01387414611 2141.61417259206 1455.83156671498 2136.55422037401 1547.74069191888 1536.57514978328
1620.09178626042 2140.64637789776 1516.67386993405 2135.61497387803 1540.10735389063 1540.20354561396
1496.64571155644 2150.6638354084 1446.04538872308 2168.61067399942 1563.21127298193 1526.38078156974
1519.89961477563 2147.56185996886 1478.86055454613 2120.79749303841 1555.61028323475 1554.61571275921
1524.44335278058 2173.86842935697 1521.42995563 2182.0531440694 1536.52754956314 1531.29762490337
1526.8508198242 2129.10918333674 1394.75428114575 2145.43581539399 Inf 1519.03525777192
1454.29778552612 2090.04695829928 1396.98621431796 2088.05280305908 1502.39482387554 1486.49258131615
1529.36848747403 2180.58695355441 1491.59251154495 2186.00693263111 1570.86536540573 1580.13865032636
1408.97745001092 2113.14347093254 1458.00326959134 2117.35665383432 Inf 1532.18149942247
1513.85093896074 2170.38453518754 1371.5255114765 2147.48682328706 Inf 1557.49193267935
1499.18512042886 2136.05493456592 1388.11851557501 2125.37069311878 1551.39418268943 1531.65717045554
1528.62201523176 2158.43166486769 1425.9595248956 2137.55665744403 1531.6363146558 1515.92535848205
1484.45034796558 2156.6495039661 1389.85222916223 2147.83892420915 1551.81120295956 1533.11451458329
1532.70448438065 2144.50855750137 1474.33031166952 2165.99217130888 1611.14584065111 1574.01417226608
1595.69192210697 2126.2380550011 1536.72616533451 2138.41820460559 1603.85107932707 1560.96223731873
1508.64293263898 2135.77998095379 1424.25969738726 2111.73357213736 1538.50813160223 1517.46948006324
1575.97334939682 2141.1907385416 1449.10687396566 2135.36318651954 1563.48691621469 1548.98430673671
1482.06500329343 2132.20440801898 1447.82365031055 2108.28457359622 1525.56137496014 1518.27888112792
1545.91997254631 2156.0391404866 1530.60185483129 2167.56915749842 1548.34028073209 1583.81087112678
1513.37927150846 2153.85246144313 1443.7981020193 2154.2643267047 1539.60963467511 1555.27218946806
1482.44167565605 2106.76020562556 1481.08651979407 2117.1072170177 1494.80744383894 1476.95794284404
1524.57038105184 2103.41660440123 1442.53178936263 2090.59381451822 1522.40561888242 1518.28518016551
1488.76952158292 2118.59367844569 1464.9774485098 2119.07035780149 1556.58430074249 1534.84812251011
1523.93710988987 2152.85370030148 1458.89538421364 2145.31201496555 1593.15319939362 1569.05561308958
1580.34678452712 2177.9714950367 1425.1597048126 2189.50639864752 1595.25119847942 1581.09785244552
1502.63781259695 2141.26970931164 1380.52617305692 2120.24321016956 Inf 1526.79372892697
1423.88437431792 2126.56027801811 1415.76149209449 2114.37497293749 1486.83152172534 1445.17324970188
