"gamma" "alpha"
0.731166666666667 0.72656837534033
0.694309444444444 0.69103943706022
0.733140555555556 0.729000019081899
0.696147777777778 0.69266937333507
0.706244444444444 0.702382867606547
0.764908333333333 0.759604055578034
0.731706111111111 0.726642412185238
0.758541111111111 0.753150718447114
0.730025555555556 0.725633462530338
0.741707777777778 0.736831070835346
0.687707777777778 0.683876566984072
0.723619444444444 0.718782528173693
0.772971666666667 0.767083139810302
0.744766666666667 0.739610789403784
0.740692222222222 0.736065032003129
0.696338333333333 0.692533947373768
0.761629444444444 0.756547536283972
0.743336111111111 0.738232685705391
0.762882222222222 0.757751825289528
0.73713 0.732436006156592
0.734997222222222 0.730402997745951
0.781043888888889 0.775530090469808
0.728150555555556 0.723421947503784
0.739215 0.73428847761294
0.809541666666667 0.803758957699118
0.710589444444444 0.706291353792907
0.763980555555556 0.758570428185227
0.738968333333333 0.734338482123313
0.733241111111111 0.728530072268607
0.763403888888889 0.75842048718248
0.719373888888889 0.715107188459886
0.693146666666667 0.689772598012358
0.745477777777778 0.740520501646644
0.764962222222222 0.759917066882048
0.769937777777778 0.765196315823842
0.717503333333333 0.71368629373242
0.680681666666667 0.677194006165398
0.696596666666667 0.692455064311272
0.768406666666667 0.763730292837636
0.752385 0.747800337365421
0.757976666666667 0.753153780769033
0.729648333333333 0.72519965246072
0.723166111111111 0.719448225369826
0.788132222222222 0.782526262108024
0.695293333333333 0.691059702231606
0.717991111111111 0.71342322511392
0.712940555555556 0.708580405446398
0.714922777777778 0.710746335255742
0.70401 0.700367990983498
0.742602222222222 0.738276960852909
0.749878333333333 0.745060609383521
0.733853888888889 0.72965954597756
0.737549444444444 0.733435594069703
0.728895 0.724208289736408
0.726191666666667 0.721664062948801
0.761135555555556 0.755570477194331
0.756922222222222 0.751636691994316
0.757959444444444 0.752545730908879
0.724386111111111 0.720193364477692
0.731167222222222 0.726315200030559
0.719782777777778 0.715136378712135
0.736385 0.731687842083425
0.774867222222222 0.770247979347064
0.758387222222222 0.75350829237398
0.735003888888889 0.730382178958076
0.748507777777778 0.743754134332713
0.712093888888889 0.708092582525457
0.741978333333333 0.736966134542551
0.760363333333333 0.755146024712943
0.734555555555556 0.729772661783947
0.7526 0.747924951228785
0.743975 0.739698314299855
0.731488333333333 0.726912842385232
0.757449444444444 0.752793452745223
0.741605 0.737066403752397
0.680821666666667 0.677798949482178
0.73037 0.725797663453279
0.694238888888889 0.690139168852705
0.741417777777778 0.736210426156404
0.693838333333333 0.690175895376548
0.740985555555556 0.736413861844956
0.801418333333333 0.795573104151054
0.743874444444444 0.739082211525525
0.714952222222222 0.710998818076141
0.696352777777778 0.692161480890322
0.712602777777778 0.708522353233566
0.731043888888889 0.726500260830361
0.726371666666667 0.721650838102967
0.728205555555556 0.724282454172378
0.724843333333333 0.720502063337499
0.727825 0.723412396653788
0.703185 0.69931614732802
0.719740555555555 0.715179636260053
0.769731666666667 0.765010502155989
0.731286111111111 0.727084818591539
0.729486111111111 0.725065068926792
0.708393888888889 0.704219999514091
0.716558888888889 0.7125092611956
0.790175 0.784809076531274
0.734868333333333 0.730371719359611
