"drpm" "wddp" "lddp" "gmddp" "indcrp" "longcrp"
3620.48382489264 4798.76042776787 3687.22752305683 4900.75227305943 3641.3628406067 3632.19028793987
3699.28170966393 4804.57134179669 3858.30225624604 NA 3644.46416827601 3664.79559366629
3721.21053187435 4845.13147356244 3691.39597464289 4965.55070071494 Inf 3652.10243903862
3722.89537600623 4836.39896225438 3855.21568584978 4974.84517212817 3698.01541879416 Inf
3579.31887098548 4861.01230055333 3818.51023234254 5008.25075714858 Inf 3659.33500074975
3692.74943187599 4863.75811959667 3833.62453201838 5028.20956023384 3724.70822808092 3718.27823132074
3655.00581908682 4863.19128638257 3887.43393398372 5001.39548083727 3739.1294271765 Inf
3858.09312242084 4853.5649440009 3739.13978106359 4976.44831906948 3705.41675091486 3701.64270713734
3696.98573008014 4811.0807789798 3656.25870293846 4955.14353416047 3704.45795581673 3641.05910071956
3698.22935696011 4887.05157821898 3854.00471433668 5016.36111907082 3762.66551213353 3719.78825279177
3664.20896293132 4869.001545684 3639.29102230755 5012.17988845243 3686.55540858912 Inf
3779.59491122444 4810.7312177403 3768.24039752414 4955.83601569797 3662.80686995576 3656.49041492251
3557.53114174039 4810.42944301894 3691.50563244715 4982.63980364113 3617.48629524842 3611.15490389194
3704.03796664178 4849.09624955715 3648.65079358655 5002.20248890063 3718.55852462451 3712.49401742937
3802.77691575828 4838.89499741208 3982.60594723081 4991.05591754897 3759.80287021936 3711.70045734543
3678.5492065425 4824.31293038896 3769.8861701267 4949.17121718104 3717.79922096304 3662.63441895183
3777.39172929253 4870.99852501836 3891.73513446675 5010.74203996119 3720.25034120099 3706.3605849474
3674.74544638107 4801.13018347215 3787.87308842234 4936.33407048393 3678.90409028227 3654.21004664191
3823.20987864579 4826.09832716111 3896.84175273795 4988.96522662556 Inf 3688.18303030404
3775.00478969605 4857.71813676781 3831.91691732244 NA 3690.2977270653 3686.23561217702
3676.81718314179 4828.31322546184 3792.16722605896 NA 3689.62716204015 3673.64181623534
3801.85763531372 4897.7419243614 3867.59926218777 5015.00388280239 3753.66699612558 3717.52467144271
3800.25167539958 4837.16487444282 3769.82413287651 5000.88671249603 Inf 3699.38720016246
3796.58348950411 4810.08955770113 3655.62923901581 4945.130845849 3763.68424432843 3687.72864083058
3540.31517414446 4839.38588982405 3646.54361421942 4973.67440321296 3706.13271162889 3676.59187072453
3762.19316057576 4804.83932348541 3751.53549690851 4961.18741783761 3655.5840191677 3675.21590863379
3775.6506918343 4836.76672360705 3770.4346695902 5003.93552982509 3661.94680765704 3682.06930058403
3489.19282951555 4863.35435193842 3748.24867173342 5007.40344952256 Inf 3714.78706616131
3680.42337006698 4870.98107239661 3776.93667682339 5020.43493444581 3729.62692079575 3710.27204453682
3781.59699003788 4858.64264959549 3948.07040741591 5010.54907434249 Inf 3736.59832936159
3720.63276643903 4852.13746169337 3830.88517530742 4989.10506380327 3750.30076104215 3696.70778043613
3716.82195380869 4819.50797731041 3769.04719695397 4957.55537062358 3658.33182484126 3662.14545973754
3578.8771795383 4865.88928249511 3903.29845967391 5009.25694769683 3720.93485115602 Inf
3673.07125997541 4855.68530110085 3696.82726382561 5006.55248339963 3751.38730885642 3705.26706999917
3811.96732531767 4875.61551900283 3711.91448799403 5021.46646605665 3759.71095016107 3750.91724658748
3746.30212358441 4828.78865786055 3863.73903357181 4958.99885073996 3689.67259689168 3688.03177366176
3848.21947253786 4899.22474591314 3932.58394186531 5024.25749915405 3732.20923519839 3749.84593029976
3878.18582347011 4852.44209049915 3823.37748829667 4980.34771283627 Inf 3712.26235336729
3752.20993561035 4820.11528828886 3779.8799018733 5009.08140459513 Inf 3704.6960409456
3796.22610361214 4825.2201617715 3800.51758294782 4959.28896119982 Inf 3682.62376399459
3671.36655528164 4803.13878434434 3716.73920386886 4969.2777954028 3686.11197622795 3651.63020017704
3779.34506210601 4825.43502463748 3795.65434574668 4990.60296191697 Inf 3675.42426946721
3652.62359486494 4806.39372544152 3879.57424003134 4958.83344017193 3660.78776870087 3665.29696547362
3880.88253903035 4852.67637486111 3885.11086089934 5004.96409956079 Inf 3725.29697006863
3802.24639848212 4878.31165421795 3790.02091053019 5011.56185674073 Inf 3726.2864546739
3582.39385635502 4872.32313022564 3575.12651922402 5030.86875690467 3743.50172365668 3720.62014353725
3849.7836616387 4860.35649387259 3861.8345997709 4986.57270570879 3746.87261552352 3729.1533844264
3680.9918438107 4816.03101490102 3720.4077786299 4930.11114215068 3610.51104019534 3626.96508260303
3800.5690109974 4817.39873720229 3829.43636412729 4955.53242686268 3710.55086401201 3675.14405887843
