"gamma" "alpha"
0.87907875 0.871754094254371
0.86635875 0.859225099932768
0.80301 0.797414378825954
0.80770875 0.801678359066116
0.8115475 0.805622559217615
0.81106125 0.804612263910105
0.82540375 0.81885015891621
0.83158875 0.824507473954297
0.83999 0.833190807500577
0.82862375 0.822286920678295
0.786705 0.780936057049213
0.83573625 0.82914812770584
0.81311125 0.807139384985005
0.797955 0.79124416855185
0.8540025 0.84718853534433
0.83153125 0.824894774334219
0.806535 0.800613072503006
0.8524575 0.84550303711178
0.82223625 0.815355737096373
0.828215 0.821830877551164
0.85274875 0.845969972810579
0.829955 0.823366928179039
0.856325 0.84968248540919
0.82511375 0.819164308599578
0.83484 0.828638446107486
0.86824625 0.861252495396265
0.824885 0.818828511945994
0.80687 0.800996554516704
0.8030275 0.796446349912059
0.85817125 0.85082209863479
0.8261275 0.819551136541023
0.858855 0.852338724961824
0.81850375 0.812083699219259
0.82284875 0.816732885593276
0.86374375 0.857138071306511
0.81738875 0.811323054809173
0.84112 0.833954539040525
0.8370825 0.830657915870226
0.83268375 0.826060489022916
0.83437625 0.827706368891183
0.8385 0.831996949563925
0.8073875 0.800909704077101
0.81677 0.811643854531528
0.83518125 0.829485478044943
0.82653625 0.819844114853116
0.83286625 0.826283846003826
0.813645 0.807694597980329
0.8465825 0.840002584810553
0.81125375 0.805390468630164
0.82229875 0.81691089509895
0.8312525 0.824569775423427
0.85652 0.850094314683417
0.82216 0.816339269618981
0.80761875 0.802952433161189
0.83126375 0.825118355170791
0.83717875 0.831030278522027
0.84427 0.837943409633415
0.80914875 0.803086797921211
0.81693 0.810955087371935
0.80276875 0.796350424821627
0.79622125 0.791347918094854
0.82525375 0.818899128595429
0.81283 0.807078011573842
0.845445 0.839042679070106
0.8350275 0.828760243423286
0.8325825 0.826365492956693
0.82492625 0.818474150320944
0.82980875 0.823446167080891
0.842605 0.835775771006
0.80509125 0.798748244349747
0.84054625 0.833879435276208
0.79889 0.79270400116277
0.8519825 0.844894477329554
0.8088 0.802751912804056
0.80656125 0.800562208444208
0.84244875 0.835576481019496
0.80019375 0.79399966442732
0.83558375 0.829243747958264
0.8318875 0.825015047687959
0.82780875 0.820672883878638
0.80894875 0.802692425431879
0.82248125 0.815919393898509
0.81392875 0.807614718963432
0.78105375 0.775375496734733
0.83908875 0.832437169791368
0.8394925 0.832611711671386
0.825165 0.818412474958129
0.8463175 0.839598249058044
0.86327125 0.855715147428362
0.8490925 0.841568052666255
0.83089 0.824637529890845
0.81676125 0.810128856102305
0.83136375 0.824972651954252
0.83700875 0.830573632624642
0.8376925 0.831068061338358
0.83410375 0.827932802006207
0.79077 0.784124585074401
0.84987375 0.842497048298862
0.88082625 0.873749928784287
0.83064 0.824461592522763
