"gamma" "alpha"
0.7842275 0.778605853206876
0.79033375 0.78430544528525
0.7862875 0.780926908194733
0.73899625 0.734066873337978
0.718085 0.71355513165855
0.8145225 0.807771917771669
0.7420475 0.736406313917066
0.8183275 0.81242541583682
0.76816375 0.762647462821471
0.751175 0.746242105208405
0.77266125 0.767075247467929
0.75806375 0.753048761343226
0.80752 0.801760016882945
0.80441875 0.798089445660508
0.828265 0.82206744944231
0.776015 0.770860591757287
0.8311525 0.824839215707583
0.86477375 0.857735777310753
0.805355 0.800014680910457
0.79906125 0.792820899677101
0.7209125 0.717035174264072
0.78320125 0.77808569694552
0.7607075 0.755583738181066
0.7341475 0.729294088387239
0.809465 0.802893877933129
0.76933375 0.764383044412866
0.79781 0.791506757949335
0.8360375 0.829674887683736
0.75551125 0.750387546466245
0.8028775 0.796456564481471
0.82148375 0.815733829039673
0.8052725 0.799757386071137
0.79467 0.788628545836597
0.73611375 0.731115882614039
0.7440925 0.73858505037815
0.773705 0.768048276872086
0.72088 0.716496086018021
0.7446725 0.739785994218041
0.8294175 0.822779081766037
0.77609 0.770025779618044
0.73684625 0.731653293057465
0.77862 0.772955413624753
0.71273375 0.708819938871555
0.83593125 0.829025092093484
0.7671925 0.761282376686838
0.74406625 0.739385875594953
0.770005 0.764874702938703
0.67760875 0.674218362178534
0.8099575 0.803662836143409
0.74347 0.738992553469554
0.76178375 0.756851459478818
0.8386875 0.832361399056774
0.795445 0.790050334234704
0.80474 0.798301944356911
0.73586375 0.730749029991981
0.7708225 0.765511694924716
0.76297125 0.757558586947515
0.79150625 0.786272421842456
0.825685 0.819154843827861
0.78042375 0.77516280055341
0.82031375 0.814081399550875
0.78089375 0.775589914649641
0.744745 0.740574370726738
0.73500375 0.730003696359156
0.77424375 0.768508338663388
0.8213275 0.815351930647371
0.8243625 0.818097968909028
0.77714875 0.771755981196049
0.73645375 0.732375247703764
0.77105 0.76640379722025
0.84663375 0.839601466676035
0.71192625 0.708410766669103
0.74270875 0.738164561009458
0.81466 0.808659773184093
0.7790525 0.77342650777978
0.7577125 0.753306556946471
0.7425025 0.738204953271746
0.798095 0.792681677841307
0.780405 0.775361518049215
0.76726125 0.761592793957223
0.7640675 0.758235428450091
0.68178 0.67796222127139
0.7244475 0.720383134077696
0.7753525 0.770481999074965
0.78834 0.782850909046505
0.77618375 0.771407543476812
0.74028 0.736437441280359
0.79360875 0.787723573445284
0.79454 0.788723978345851
0.73352875 0.729839278753378
0.748405 0.742974562383467
0.74915125 0.743484807109043
0.83564625 0.82887023570001
0.798085 0.792693416979024
0.7397075 0.735325260280175
0.766555 0.760646685934785
0.74990375 0.745019077781022
0.8479125 0.841557843823257
0.781435 0.775990842146388
0.7505775 0.745245339782753
