"gamma" "alpha"
0.286515 0.29075664389903
0.353645 0.355820365746077
0.18764125 0.193776322262447
0.18923 0.194452178941465
0.24534875 0.249743257869562
0.3130075 0.315891396509072
0.35354375 0.356333327567375
0.22922125 0.235205886386723
0.2482 0.252811727886504
0.25409 0.259147256962751
0.26863375 0.272469774759391
0.33651625 0.339772507246716
0.33585 0.339581567236461
0.3061425 0.309782778342067
0.2879025 0.291865689020748
0.26497 0.270367849780489
0.35315375 0.356358811830685
0.37148125 0.374145308789961
0.362485 0.365106575212827
0.3182475 0.321857876017222
0.24797625 0.253231302801275
0.34068375 0.34498725591009
0.25779125 0.263018277774476
0.230425 0.235745203180313
0.39096625 0.393338336982056
0.272895 0.27742795927406
0.228255 0.233013188799736
0.30440375 0.308621750412857
0.29775875 0.301235454055536
0.27997625 0.284184951471997
0.34354 0.347322912675417
0.37835 0.381188667681742
0.2661325 0.270499561039669
0.2718575 0.276461560015681
0.26615 0.270377759059496
0.2733925 0.277707916882869
0.31240625 0.315870906933558
0.3018775 0.305587770375835
0.26851375 0.272943446431903
0.33866125 0.341306477215677
0.29947375 0.303162842292115
0.29014125 0.29483256068625
0.31137625 0.315019324004153
0.300245 0.303874262831044
0.21477125 0.220154737813033
0.30129875 0.304279202377044
0.2612175 0.266084896004386
0.30122875 0.305267638183887
0.3003525 0.304143089986365
0.33951125 0.341957907460606
0.2966975 0.301629841288665
0.32043875 0.324945474976951
0.25501875 0.258939563478891
0.3308175 0.334514416479763
0.3094675 0.312416135764934
0.343445 0.346998225596907
0.31023375 0.31455449956683
0.32627125 0.329162959186728
0.3783075 0.380301128857687
0.2809525 0.285523370177058
0.19636625 0.202220254465896
0.35577375 0.358823926578494
0.2849775 0.289238291122819
0.26077375 0.264769903689273
0.38563125 0.387737577499227
0.25051 0.25598034825638
0.26301375 0.267546258252687
0.37954 0.381933018768597
0.25847 0.263247525420126
0.32355375 0.326704312026585
0.3066425 0.310307110583567
0.24329 0.247468523640376
0.31228375 0.31627190346692
0.32672875 0.330249591198282
0.38584 0.388647572521525
0.30199625 0.305578454945461
0.307165 0.310856813028622
0.2739 0.27840829323391
0.27914875 0.284538192965079
0.301025 0.305500404322719
0.25752375 0.262696287478435
0.2894825 0.292873204858563
0.30558 0.309587640170484
0.26690375 0.271811029449016
0.33685875 0.339901746641608
0.29293 0.296978315701619
0.27413875 0.278175888876458
0.32304125 0.326338990946015
0.2587425 0.262920696989106
0.35983625 0.362609762739252
0.2553575 0.260268311564459
0.34249125 0.345444490466931
0.32064 0.324080406849968
0.31395375 0.317457863844107
0.3434075 0.34655413426064
0.230295 0.236005971194097
0.23360375 0.239256904712171
0.299625 0.304034449824454
0.2727975 0.276551495518471
0.2101625 0.216459298767709
