"gamma" "alpha"
0.810076666666667 0.804308695556888
0.79591 0.789867359801817
0.824305 0.817812691587924
0.884783333333333 0.877118898042377
0.843170555555556 0.836150109755379
0.867757777777778 0.860717711486851
0.884358333333333 0.876868193238942
0.817008333333333 0.810892489503361
0.818181111111111 0.812096042370203
0.898262777777778 0.89058281960835
0.860680555555556 0.853550157175321
0.834197777777778 0.827520870729671
0.872785 0.865638288521645
0.794951111111111 0.788641491395263
0.829073888888889 0.822664097480233
0.832173333333333 0.82595644114845
0.872665 0.865250216338197
0.871386666666667 0.864025696336998
0.786291666666667 0.780854492185897
0.878266111111111 0.870748642314614
0.912648333333333 0.904322731159214
0.813432222222222 0.80742112829886
0.90482 0.897197262864487
0.869954444444444 0.862876353172399
0.885315555555556 0.877549118140621
0.815932222222222 0.80954995373411
0.794095 0.788213243525338
0.813007222222222 0.807181662581597
0.871349444444444 0.863817421120915
0.876326111111111 0.868938992494591
0.861217777777778 0.853855757224838
0.885947777777778 0.878422571124941
0.885245 0.878047025526975
0.830216111111111 0.824071011231844
0.888787777777778 0.881187092614364
0.813272777777778 0.807142815121069
0.832360555555556 0.82572536231633
0.863858333333333 0.856496210110756
0.870271666666667 0.863055672880978
0.877118888888889 0.869774605051921
0.834977777777778 0.828334704442992
0.789036666666667 0.782621402821937
0.824535555555556 0.818656026051571
0.851218888888889 0.844078101036673
0.866875555555556 0.859597156354451
0.822135555555556 0.81593252700461
0.848871111111111 0.841748745415155
0.800807777777778 0.794530360410252
0.806605555555556 0.800453950881596
0.868354444444444 0.860766225912396
0.907053888888889 0.89879016837461
0.801247777777778 0.795199896916015
0.880731111111111 0.873165396182698
0.883072777777778 0.875857868473396
0.801142222222222 0.795453243913898
0.826451666666667 0.82020170559791
0.860118888888889 0.853171480241014
0.846674444444444 0.840390020835577
0.886265 0.878711351781146
0.815696666666667 0.809327521706279
0.838228888888889 0.83172057192094
0.799951666666667 0.794068796558159
0.86637 0.859463965833713
0.82432 0.817770519868625
0.815078888888889 0.80917630550391
0.84617 0.839569325147015
0.801358333333333 0.795359429082118
0.898395 0.890822695647829
0.853394444444444 0.846692891323428
0.853948888888889 0.847084130417228
0.899552777777778 0.89175034203875
0.844614444444444 0.838080240826982
0.853196111111111 0.845709721318705
0.795198333333333 0.789701951063467
0.872785555555556 0.865773732210252
0.815922777777778 0.809449103222788
0.851461666666667 0.844598873377449
0.865237222222222 0.857940892200427
0.871473888888889 0.864045760411037
0.853970555555556 0.846698511933531
0.884070555555556 0.876379756001856
0.898296666666667 0.890127205891301
0.888415 0.881035911356448
0.910098888888889 0.902039116516677
0.857743333333333 0.850370538139803
0.798296111111111 0.792588567832381
0.875922777777778 0.868419200708047
0.891288888888889 0.883735823183993
0.873427777777778 0.865994270662228
0.904298333333333 0.896333092445944
0.813912777777778 0.808362202585704
0.857968888888889 0.850819923136379
0.794033333333333 0.788152038908258
0.833472222222222 0.826662550583108
0.857721111111111 0.850910030334161
0.853673888888889 0.846586932466578
0.797813333333333 0.792463508662611
0.804056666666667 0.79818395908414
0.78818 0.782686500648807
0.874876666666667 0.867930755785749
