"DepPartLPML" "DepPartWAIC" "IndPartLPML" "IndPartWAIC"
-710.747348645952 853.626439551742 -480.294809116957 884.383350970864
-502.705612888348 928.210509852457 -476.646768537643 901.264965013365
-349.863638556157 702.544630176255 -348.375696455153 683.745849090225
-453.590833861181 811.734410787681 -442.911296989028 819.901495842632
-Inf 1085.87712423137 -559.630180591225 1005.44616231121
-491.350089707957 748.671843228935 -405.502482874144 779.592935551589
-637.927148952861 902.418117209625 -522.239281526073 942.628531239392
-493.108035311652 851.068213520277 -487.449140895063 931.289339166333
-532.068925362843 860.219528552089 -489.225077498331 945.392206911544
-551.516459243907 917.649724914518 -533.428266729908 954.799544416405
-605.288248088158 953.899402959918 -534.257770081991 974.682020747374
-516.27277196212 918.206734461749 -533.711161889614 971.161318934195
-665.125894611061 908.644416190613 -494.872736393774 914.279182786248
-497.380994572284 768.00080954955 -480.785199859007 775.633244520368
-626.277364752844 810.721193075261 -469.321714799879 820.8300264781
-487.67490365037 813.041007280092 -432.500262360274 825.20725874618
-522.775070828609 833.494553692131 -453.003015644947 840.748072082261
-812.082593644619 873.310545292101 -501.742595678059 884.819482928179
-685.845438282756 863.320570736675 -466.011093565157 892.217206412342
-954.765198323572 1047.52331127827 -562.381242384688 1070.57106119232
-Inf 927.213814037093 -515.787870649328 852.403995708302
-Inf 881.631439778028 -500.956253135166 827.414939225167
-1276.92826657923 931.485612536222 -579.881229879637 1099.08935657287
-524.778698790304 893.664481567801 -501.79750505434 945.254195448087
-1494.10215219095 874.612774118778 -862.273274665759 844.930891112428
-576.816204141615 849.473281166839 -450.96699927663 886.104593800827
-431.087826859365 782.375178957764 -433.004966376878 836.377474429446
-572.534794171107 981.629576424106 -546.639624453495 1051.09385282429
-437.521641106216 771.995334675877 -447.572253687629 848.82859876131
-534.363835548868 1005.86364996484 -531.540701643604 1018.74032656095
-462.919047639938 828.256873027497 -468.931132639027 873.322679762809
-819.092073826936 907.298071624982 -492.090109891432 939.055394034212
-1351.60918617209 843.474021511136 -469.356688451451 838.200175242405
-554.690824970474 950.389576313505 -501.895045486802 941.057350005485
-425.752028188639 804.40473931812 -435.447207825177 822.625254111261
-414.216592684127 792.67873744832 -426.363829646212 812.433428928284
-660.094248006162 777.680737266532 -517.222522556207 794.175671589015
-449.597736290252 813.778515829296 -469.312066156887 833.45828715583
-842.555372086091 890.475042090209 -497.900016251219 959.192674147597
-899.823484566856 886.138019273386 -505.979983796254 910.577271869003
-663.202511250134 778.824322446549 -456.94788770936 807.06541426367
-417.137037054882 763.885598288806 -424.620992860014 787.8216435766
-1197.58551231645 875.800104581916 -477.286937019886 861.673653600455
-602.637897031225 847.409424405357 -456.387657659702 859.389082018095
-1127.06945457346 827.543122367481 -493.835856394348 950.705722618643
-Inf 789.855386471928 -429.902291741694 833.238027315563
-583.835373407159 868.418901215144 -545.943458584764 971.385955393869
-Inf 841.213421603195 -653.554593988886 920.679624083735
-535.596811881901 1048.98409149845 -523.974102296996 1007.07287444972
-1201.57049533261 967.20701066565 -564.829177325858 1013.24633702721
-938.308179118489 1148.02813800389 -564.765359297592 1090.04267684621
-513.520363173275 829.324217978274 -476.411328006782 897.793600827614
-517.875693987941 865.847398347211 -491.781056821472 916.252918010595
-629.302206614587 763.765385994348 -401.201144987024 772.197948175189
-626.330858802005 887.625302896128 -469.883538468092 906.805688564875
-567.120596928704 1005.45261433154 -540.191644273813 1023.0428859047
-Inf 890.57347117732 -527.072996937592 921.776547060995
-763.405058080477 835.183903244706 -486.162159258512 878.093208412267
-706.243276500503 878.482378880465 -463.452298833249 874.454768987233
-587.034710925443 960.075288242572 -523.935694533086 968.696418087223
-525.971539071149 906.267146429382 -493.159539980252 903.325124734407
-477.635276009356 828.237081374596 -468.762720844996 863.469979089901
-Inf 890.041647543497 -677.285533772574 861.203080750757
-448.408005121419 798.147937338096 -459.848476579765 834.189713487982
-433.341725807891 765.048677471015 -409.245578417817 798.034617572171
-408.363496414433 748.519192433193 -437.337954164531 817.122589071047
-521.095246643805 919.149306824315 -563.938478454392 967.221620024694
-441.665012427065 799.360702631395 -458.840374708308 832.300824680849
-Inf 1175.08457063347 -520.049993530145 938.250069946806
-1515.2406768 828.73535328372 -472.305847790909 886.124265742074
-597.047361309805 981.253489810904 -555.065976188354 1051.13869951326
-667.989042829001 941.423914890853 -506.983174437043 929.460992947124
-1781.34109402549 923.221782088309 -574.0391798598 984.180801631504
-497.67701468446 842.77560248342 -460.153209613014 897.11557127953
-547.807996227226 897.949378532186 -532.481677363154 967.873245611421
-1507.07546419436 957.347566140384 -524.444724656366 969.118083197936
-623.7114366601 984.792025877292 -546.652866512234 1024.20118296732
-430.364338890618 831.534798385583 -435.507866175323 838.373209211642
-457.281260491908 794.229008880389 -465.668064726795 787.293671266957
-822.735521988198 986.672048324798 -520.666398635826 965.911113331449
-1555.04646977957 871.031709033564 -567.322511192242 940.719405698385
-600.569534128847 876.696515976507 -503.338319028202 892.268778971674
-606.057718347356 946.226632578321 -599.603479819047 973.54996552124
-Inf 863.981379866162 -454.816261247406 810.549520392014
-515.657775155941 875.696454683999 -513.892283416183 912.894082112169
-519.044226067569 830.842954436478 -471.863145708217 867.032680699278
-1066.50676838468 991.02400641998 -530.745410468086 953.995186222693
-643.435536985525 831.458214275862 -486.825760543178 894.139037193413
-1309.99477469574 1052.62948477008 -590.455137494369 1098.3321359034
-576.737025107482 822.050627456298 -437.843728055235 839.703567089031
-1547.11855512785 781.432091558466 -436.110222620506 813.263700625485
-408.806732911355 777.043913559012 -425.118724032836 800.98554330749
-450.161684711545 831.626204409341 -472.615683804439 866.4198236679
-535.578123040675 1005.03717776443 -571.723652700438 986.163246122437
-563.478990238866 935.37213508515 -499.154677771827 907.923926484014
-870.883282398941 938.367084455199 -552.5682304143 1012.50137421031
-501.649573744686 948.674806166862 -501.31732748949 944.324800658246
-Inf 914.154248765696 -535.340663638661 975.129942048351
-490.16993784646 864.272255252545 -482.38113138051 927.345092670164
-530.668047608304 785.17806024386 -413.221564564058 789.751934809154
