"gamma" "alpha"
0.789781666666667 0.784659706248633
0.790766111111111 0.784661170673303
0.792407777777778 0.78672145015775
0.884880555555556 0.877082147634551
0.878627222222222 0.870812883629564
0.837376111111111 0.830551853412042
0.860173333333333 0.853211312774126
0.814750555555556 0.808594140483254
0.821165 0.814729116915959
0.838327222222222 0.832054739362851
0.846863333333333 0.839975877122151
0.79037 0.7844801966118
0.859636111111111 0.852974571790842
0.834981666666667 0.828562947827102
0.854116111111111 0.847193474506828
0.799066666666667 0.793344197746114
0.85779 0.850680402410197
0.82913 0.822852570654726
0.800548333333333 0.794700346376487
0.808326666666667 0.80200807367708
0.788634444444444 0.783416097843392
0.82334 0.816638812686135
0.790534444444444 0.784513502250036
0.803036111111111 0.797456965320448
0.860817777777778 0.854286663040312
0.800286666666667 0.794505425678086
0.836142222222222 0.829460773348435
0.830362777777778 0.823603721297794
0.824758333333333 0.818304433355471
0.814352222222222 0.808160446819225
0.798986666666667 0.792632573112996
0.839346666666667 0.832659141261619
0.823115555555556 0.816831914750364
0.790334444444444 0.784523634913168
0.878866666666667 0.871967829309913
0.803965555555556 0.797995377036687
0.809364444444444 0.803691378080762
0.895696111111111 0.887567401711069
0.794907222222222 0.78892669261367
0.828539444444444 0.821948149830077
0.872501111111111 0.864662548803748
0.795957222222222 0.79066792209003
0.792706111111111 0.787243171550634
0.839885 0.833459930895951
0.895305 0.887777567539059
0.791789444444444 0.786099753669548
0.862473333333333 0.855704407237696
0.838861666666667 0.832340918417743
0.868916666666667 0.861580598929315
0.836343333333333 0.829877168194118
0.866598888888889 0.859873949569672
0.872728888888889 0.86539268721771
0.839248888888889 0.833006289445247
0.8126 0.806695799792294
0.863488888888889 0.856729037951706
0.790687222222222 0.785115308730712
0.797310555555556 0.790917382419268
0.791000555555556 0.785436840721358
0.861310555555556 0.854184345006066
0.822636111111111 0.816130614696756
0.835264444444444 0.829057355756305
0.868226111111111 0.860596474737499
0.840500555555556 0.834215603731957
0.864533888888889 0.85744523414684
0.905966111111111 0.897780197454548
0.813801666666667 0.807350336794193
0.791088333333333 0.785283858078788
0.794135 0.788060520283404
0.786521666666667 0.780821904098365
0.828272222222222 0.822069355675455
0.87087 0.863930463574639
0.811825 0.805880744296265
0.819436111111111 0.813209047458459
0.819637222222222 0.813613938786699
0.844531111111111 0.837656312475646
0.790381111111111 0.784508463150033
0.796235 0.79044470925621
0.82532 0.818821473152104
0.790483333333333 0.784792689919021
0.81964 0.813437165870504
0.804759444444444 0.79800394052558
0.798717777777778 0.792872744338012
0.836195 0.829212951862864
0.798481111111111 0.792174981931537
0.794651111111111 0.789241186873708
0.809428888888889 0.803339395482145
0.842907222222222 0.836323896887629
0.826547777777778 0.820605687618569
0.845256111111111 0.838407280159169
0.798425555555556 0.79261375134321
0.815747222222222 0.809575828579818
0.787225 0.781395293208786
0.899885 0.891941622718742
0.850926666666667 0.844003086044874
0.791185555555556 0.785350391882738
0.832672222222222 0.826052638092684
0.862428333333333 0.85543697397354
0.782777222222222 0.777352287180341
0.82517 0.8186889454879
0.836498333333333 0.82913629749701
