"DepPartLPML" "DepPartWAIC" "IndPartLPML" "IndPartWAIC"
-685.465340902418 945.934460605528 -514.821386722847 955.829814968449
-472.269919150818 823.981189279183 -446.594765639843 823.809231719058
-475.480782157729 883.455407198248 -465.393318875385 859.868855261746
-804.640965776529 854.25676269301 -446.300880884684 854.88084437127
-472.992134409845 884.20217729613 -474.060888892286 880.244992758641
-1034.47518946571 838.781922728325 -446.821017656205 839.525038846101
-663.591666083051 982.719111168966 -540.179061817496 1016.4656848674
-561.837974467733 1000.92967244189 -527.911930352825 997.340479026539
-490.046034602071 886.777630240572 -490.997843473802 880.894089835236
-496.938804909068 804.828150938547 -452.452773179619 813.645073379985
-538.117777933515 904.801399237945 -468.490836426629 903.717584677861
-515.124083886785 943.697621665495 -497.157934328874 940.742111637286
-1123.69790264999 1103.25993336474 -554.242774234774 1081.03055990677
-567.329908548887 874.402200083004 -463.833306892363 867.414724066847
-510.975143607144 789.49022141192 -404.748974151704 788.591326297496
-492.32589023143 875.224118585123 -470.57017814559 868.663128008032
-462.907904660537 758.908031891475 -395.810624090908 762.201149723168
-546.086874596399 906.1078063285 -512.758792955646 910.972786752318
-615.581031367833 823.029441350574 -438.610143541121 820.538541321813
-1103.71912510833 998.082191325384 -534.941187448828 992.651314045395
-567.137011405885 1013.12839859565 -528.787472918115 1019.70206592451
-Inf 919.694774651732 -558.785218732296 906.901571148198
-634.652611298471 966.138374495953 -522.166868617159 952.267437832125
-497.856785628775 916.360095631542 -472.835833440046 910.314037839539
-488.388646534476 914.141051132906 -475.927408085373 906.156376938173
-510.840328097517 906.663782182412 -519.279276402732 894.671034471983
-571.264726434988 965.903436455123 -549.59509533391 963.146054818448
-1835.8639459288 962.645045410767 -522.719629823723 925.985500244587
-416.095218326318 785.544875533079 -413.454927365337 782.325460017673
-504.19001375983 806.666315106713 -421.743662949076 812.332831737745
-419.115355965287 806.142743119427 -410.571862820711 797.113115393204
-513.474108921076 862.320293553013 -500.811713950469 864.023360904135
-540.681715203614 878.524671745454 -483.663866740565 874.201621380445
-504.781851938438 843.346063454565 -457.07629014062 844.703972425654
-627.02128565227 983.000287155784 -512.835091257007 974.930602621197
-540.409005152727 918.285867975495 -490.821190495375 913.04629412096
-557.648577913059 948.244763576829 -505.134327491447 958.337304630616
-504.614530745834 896.591569450335 -481.854937605044 899.818240733249
-629.625012127369 1002.41911253288 -541.497318158918 997.774283177808
-560.241120527418 910.589982298295 -507.197819475071 925.224899671595
-472.630965968186 851.39448765475 -461.830407378422 838.143167755671
-426.092628014762 803.180674174502 -429.201026937727 804.009098481774
-462.040680597292 867.462010578409 -440.25806820073 867.600390788853
-488.633636951639 859.489854911948 -448.184290836944 837.678690391876
-486.964094118233 854.035335482099 -471.7536080307 854.307252278533
-528.842974374732 980.239644794726 -512.75949385547 977.618947889826
-877.510137006004 951.651900636684 -572.87918970851 947.291101311377
-459.017024261071 825.067467310897 -446.332409974171 829.056535569493
-633.979373583481 826.082437713848 -448.475512062629 826.47068936333
-699.820902194214 960.734875922306 -505.041917614736 956.369553179346
-683.728555355787 971.236398597661 -513.14494125999 938.776267072597
-622.010426637949 821.367398215349 -565.358019135906 824.011044167288
-498.755546505054 874.64893742426 -481.709332032523 862.108658781494
-461.666843832455 852.742683352243 -479.655657444073 848.448353071129
-478.077042331549 889.338911805578 -479.938458778201 890.328354706699
-504.451200372567 934.668342635345 -497.971583710819 936.419859618318
-781.387908954825 936.673100796839 -544.545407212471 914.932644834247
-613.742567833828 835.346574325855 -439.51035500038 834.465377259565
-458.158620423714 869.586539585192 -451.245849102406 863.48597414085
-466.904580212314 882.310090770926 -453.063558832517 875.039542319817
-504.369666552478 966.345164527167 -496.526325341209 970.257514610251
-577.46561598336 981.375562707766 -505.539780642104 970.253405365091
-505.778708006165 867.081564545445 -507.181801929083 891.498566126188
-613.84556739587 915.320796450064 -492.81413052753 912.827064736565
-523.258482565701 881.519288788769 -503.993262040825 889.741774008603
-553.896400673568 968.78459158199 -519.07673468654 982.259900825854
-493.308830056985 798.134753782733 -423.226873950191 793.07527931662
-633.757591491193 881.437045243445 -594.792271851016 879.482824700076
-516.109405932672 952.404910077073 -513.423980919819 942.428208053483
-504.646748852799 937.229456074675 -502.732203838436 939.481723387061
-584.58317950547 978.693245129951 -530.472268040311 984.608927751104
-560.093341467051 850.136706406821 -450.227536146856 845.158280377346
-505.267058739638 911.143532094132 -500.588144669482 892.470075721023
-513.325396104936 948.207322715458 -513.473025772601 944.320687301261
-473.75170246501 882.156161143943 -457.022661371491 864.989565304931
-549.327690575048 914.390793421283 -491.687791440801 927.310658461801
-487.509802500283 914.499883213129 -484.106436116741 904.073309143839
-494.761156778622 920.090491799327 -487.658837480492 907.017282879831
-467.1817394022 890.363866561973 -455.98530624009 888.654196350353
-842.182930890007 867.949957219291 -465.579969015947 877.036266764797
-492.47517095706 749.784914120691 -394.261505502542 742.212164507937
-528.21495873718 792.17907303881 -405.415457232894 785.424017581663
-420.084039811505 794.26943618779 -423.432777900032 793.827223763682
-538.769603120662 950.955966028331 -507.925124412836 948.112347805429
-902.211130335214 883.205945771729 -481.708882306095 873.904060795631
-Inf 979.858388819666 -528.325188240049 945.640357028191
-606.9681578001 906.343098184822 -506.789181257953 906.185506094602
-540.975941251117 931.611949929158 -489.263333691519 926.21315921409
-562.783322646895 951.317958179866 -558.047307538869 950.216011055105
-522.629799926663 933.287013716705 -520.988291888111 930.352321369547
-472.622260009174 851.581595828472 -441.399519942998 830.326587560732
-487.692347731839 877.888212827366 -472.118480688298 865.5670979106
-397.546959847525 780.47842291736 -405.718240529891 802.205477323817
-529.875333132576 789.469810885508 -475.773864831515 797.434022880814
-490.204994530442 915.902695511192 -477.177386439176 900.891427996621
-597.870167253937 974.21485412506 -518.511481134705 961.671803624355
-1251.52263648513 957.129420809424 -624.414023847272 937.404054474918
-497.46354082214 901.988004673696 -472.974723015998 907.325938767633
-503.291744145761 903.396463884424 -501.343496560809 885.38478022739
-Inf 799.739609685263 -391.536232238295 769.214983993787
