"drpm" "wddp" "lddp" "gmddp" "indcrp" "longcrp"
1611.70976129489 2357.94659347674 1606.10120896883 -1218.85868096511 1728.55428870476 1754.73509247495
1651.12401570791 2341.55145484144 1440.73018756804 -1194.11037577108 1717.17900749859 1704.61977608334
1749.09538131977 2342.62930594821 1637.31106935298 -1201.51994633607 1773.45976230252 1750.60025574799
1740.14851607692 2360.26718054791 1582.99544900876 -1199.1999475034 1754.63284331538 1751.87844515389
1611.99376337169 2353.93114395503 1535.53096821113 -1198.41362636452 1777.92012071985 1756.80651399629
1662.38535423979 2363.16771647945 1631.76044171516 -1215.00575263546 1753.34657538619 1754.35232970635
1666.15879829988 2357.105117467 1586.14753271778 -1200.75206124898 1758.90610481956 1745.44036584243
1799.06133768802 2364.10036165989 1678.81847931963 -1206.54441908783 1752.0425358141 1733.47016012646
1649.54451986873 2327.34819889229 1605.18752997691 -1187.65732871216 Inf 1698.63595051663
1682.90597646726 2397.00839561395 1653.73059197074 -1231.15976670945 1805.86088940501 1773.627704877
1653.20609646967 2392.97038310316 1606.49931654257 -1231.43342311253 1798.65131462329 1782.79754380504
1625.11933618828 2354.65795379188 1572.48229727557 -1211.061566932 1775.98686712946 1757.02738553749
1610.70145739926 2372.28634299302 1603.7410543454 -1207.43584380643 1787.90113383431 1762.31139579479
1626.8217045074 2359.84950979561 1600.95679005633 -1199.34726694984 1767.73676518867 1753.67897718039
1595.88085857654 2334.26610037452 1592.43144937985 -1201.18609864396 Inf 1696.77117160375
1669.02162905489 2344.18526663205 1596.92443749424 -1206.80739080686 1740.46839028998 1727.27638188548
1725.61088299199 2353.27781547445 1610.92167870016 -1198.50795793005 1779.76187905656 1764.96811628125
1596.9614094872 2347.09908403249 1556.63500051716 -1196.25736195876 1758.32512466134 1743.80141588891
1630.37162289494 2332.17562834438 1576.96912480399 -1215.06350422037 1743.9776214019 1737.92288669198
1668.33244803251 2318.47844576977 1574.42457173272 -1190.03278724904 1720.95198609171 1702.8716588164
1627.863357811 2349.43876051655 1477.30177082613 -1195.63865362864 1731.63766418926 1707.67992336942
1635.11291696987 2355.56796130765 1623.27535921663 -1208.93597184284 1771.31067158202 1761.57909909054
1640.11234337868 2361.28418190842 1572.44289903504 -1220.46898312741 Inf 1765.51999033353
1707.81064830539 2373.98533968828 1620.72150825908 -1207.87015035976 1781.2554985451 1763.58331271917
1580.74512258697 2341.60527467206 1336.5615032599 -1185.19884178679 1725.81952312873 1690.25581765418
1671.26464207092 2308.94411582717 1557.99653906436 -1175.57893401068 1696.75274731212 1704.66260472874
1723.41956796024 2341.05779372024 1567.56052045795 -1197.23967713817 1774.57778185472 1747.0822949337
1754.87186706734 2386.21532595689 1581.1496755765 -1207.53668501205 Inf 1775.70689029337
1592.42256599822 2355.26762065283 1576.04673594897 -1209.97045397033 1773.03563089651 1758.22724848423
1682.63694790926 2351.60927485988 1567.00035420297 -1202.90183582913 1775.43222303732 1766.16208446276
1664.89177445257 2368.63608519202 1630.72961928093 -1215.4153571538 1753.3541233708 1752.27942060161
1733.28534151163 2347.89567015629 1615.14246371371 -1206.69204763827 1788.00231054917 1760.3649409255
1658.02089660633 2392.48265210486 1566.60329701458 -1220.69618800162 1785.16859496097 1771.44960609058
1577.44587370029 2338.99742702425 1571.60862000283 -1204.37499849898 1743.66070145314 1717.27453931558
1631.9720903752 2367.69437233694 1514.0173996426 -1218.2063704639 1797.81168332011 1772.31039397318
1636.35959367364 2361.83325168447 1626.93557421417 -1210.42998503985 1761.02384837255 1747.81428288574
1588.34285032918 2352.61229393763 1638.23906270807 -1199.40445360723 Inf 1735.6435157961
1644.04310133103 2359.21447769068 1619.089810313 -1196.56928945551 1721.55015908289 1751.52650286041
1678.20506036618 2351.51496720517 1666.29440034016 -1205.18938782905 1745.58826096413 1726.28140026641
1626.41056147009 2375.56381038475 1556.99684659587 -1212.09295311329 1754.34196479192 1761.09589962137
1696.46871391092 2348.47568065463 1636.38140678488 -1198.87355307804 Inf 1741.34275480212
1729.4666689034 2333.74484835892 1539.89543828315 -1206.58466847484 1774.37526185635 1763.88192525553
1621.61481240003 2350.16525939632 1586.80775184073 -1198.31282926529 Inf 1735.00086210532
1698.64947174471 2377.20060794261 1609.38442302352 -1206.97455912332 Inf 1755.37490289958
1648.04740257545 2361.99943045221 1645.34797460768 -1222.88491332788 1784.34673897988 1764.67691923515
1648.78780012255 2338.62455724503 1631.75876546819 -1188.5778501612 1737.82476181898 1732.23384349155
1679.5065385017 2348.46566321197 1534.81066289517 -1206.71021748361 1734.83742300731 1737.40751844579
1679.39464863411 2345.09533852315 1602.5814262442 -1196.8471035867 1760.26433427945 1740.95495494174
1705.74112074369 2346.54521503584 1643.13420639532 -1196.06066536412 1774.88054842833 1747.19970285913
1743.21488620689 2342.78153830807 1665.90862886743 -1201.06923592698 1755.99175604198 Inf
1599.9275543032 2360.94627346093 1581.35423167055 -1195.29556243391 1759.84205479895 1747.97211593968
1668.54095240532 2338.91567735615 1523.91366015118 -1191.51989770715 1773.19001141804 1741.57422533065
1715.34205433997 2378.2803489726 1535.2550157928 -1220.04028212126 1783.19652904996 1763.09720530381
1704.7986873188 2360.99030173943 1596.65107344665 -1201.98361118016 1782.77469840734 1767.14509473734
1649.09978912999 2355.63445497071 1629.13484950797 -1197.38823058041 1747.40266992343 1728.90887278673
1655.39135710078 2333.63126879698 1478.63425798451 -1192.31781169082 1719.88962946898 1690.49151817456
1745.78107970215 2376.27357810649 1588.86139128734 -1211.15363415652 Inf 1781.40541270328
1720.03711066052 2389.8313137616 1683.77448055482 -1211.59121967891 1786.97149882051 1774.29323030386
1668.98707705278 2335.20273630037 1617.229119716 -1213.90939411096 1736.94474481895 Inf
1710.25348311913 2357.80581860168 1558.25603395719 -1210.1533542853 1715.39626571821 1708.34833287053
1684.07695195939 2319.1570383013 1643.74956789967 -1182.30248482101 1760.9594410241 1742.06867362805
1737.11681074736 2394.50524330657 1681.88538466113 -1221.20944497579 1811.33011270357 1802.14459962545
1708.20018720656 2347.20177262581 1571.37977926474 -1199.87340003194 1770.47090774101 1742.7648454913
1677.94965735404 2356.79511056167 1586.70595004299 -1193.43173633123 Inf 1727.81755101686
1682.13496015839 2352.96970709569 1663.93280925485 -1193.50629235395 1726.28732845356 1739.27905779043
1687.62328178945 2334.22122868317 1592.69600029017 -1186.4788300668 Inf 1725.95712837708
1619.23809786385 2340.24387518915 1568.01691347353 -1193.16297738847 1760.18451142941 1731.15383087986
1726.67958657988 2351.38550388829 1670.42894799022 -1209.97377623605 1765.81993273054 1751.02951866056
1511.76359733236 2331.30506686806 1625.60563060474 -1189.22676327674 1695.52789939414 1706.05365027999
1658.89966141397 2326.1713468979 1608.81539387627 -1182.73863150397 1749.46817756682 1734.04874685761
1718.54745606752 2368.12972950558 1647.5492646387 -1210.08448517856 Inf 1752.93307630954
1562.24168735338 2351.7099514812 1507.13468422117 -1190.48331617329 1744.3206259135 1728.02082161431
1751.05914198516 2359.59556671617 1696.02929846734 -1201.89611513158 1763.27305398189 1762.35324175241
1681.37579749068 2362.30175311201 1619.09621316843 -1202.84561851664 1754.67046292918 1740.03980870627
1728.25167604119 2381.07735837251 1679.25386097801 -1221.90986586479 1790.38266474759 1773.53999239265
1700.58261307992 2353.98798107893 1647.09120113019 -1213.36727250724 1786.786952603 1749.51882064832
1810.50011922452 2369.88914261861 1673.41617521205 -1217.75401565566 1804.82318446955 1790.25074651943
1616.54976430159 2371.70354291768 1557.38708388305 -1213.17876993908 Inf 1746.94280317723
1789.27201223623 2374.46531232445 1732.35098903683 -1210.84103215243 1792.20465531868 1775.68972554293
1674.2581423147 2384.04222771908 1625.82541320423 -1211.48947258916 1782.14902857633 1760.0293520526
1733.2459434766 2374.93765150331 1565.57992848694 -1212.5064595839 1804.43303265166 1787.09913478808
1638.98441765175 2357.15318138208 1602.36583626905 -1205.79560717038 1736.23853916982 1751.74039752304
1684.16788469089 2345.35262669241 1587.40909979691 -1195.18153930815 Inf 1742.94293655636
1709.19621606718 2365.18498473106 1600.4026534772 -1208.74575277857 1763.38550523895 Inf
1633.49515690023 2379.39730655973 1613.36158779392 -1217.14046979448 1796.30202613467 1783.25713774014
1638.34114535261 2341.26605176895 1634.32287817838 -1186.32501236279 1757.68646445984 1746.86509509232
1678.35115913843 2341.61140450162 1613.82432990543 -1185.90626944241 1727.67001215888 1741.04328024005
1637.57285887467 2348.59291567539 1606.19585541394 -1189.57504873447 Inf 1734.55402679429
1603.40426580837 2336.10597170788 1587.08951338748 -1200.69400446113 1741.68646202299 1741.2231084178
1636.78375646243 2352.58376421624 1568.63388989926 -1204.01201635462 1755.36621626737 1725.10551168107
1732.89215402712 2368.11191177153 1570.04523778218 -1201.4956750145 1765.32902257825 1736.84370911963
1692.26410864215 2362.20755179996 1602.52851144554 -1211.34748955289 1750.54272555182 1749.10218207535
1675.3276658828 2377.80227794981 1625.44344147199 -1234.09103541714 1781.71107286258 Inf
1683.72732394895 2347.25590253132 1597.39058187441 -1211.08557766755 1788.40138117708 1774.80794570958
1642.18672283051 2350.50412356475 1632.83600021146 -1196.09162531127 Inf 1747.09375827828
1691.74694540931 2349.28535165389 1525.01233542309 -1205.97283806352 1751.39392828788 1739.46528322841
1716.9089919433 2331.71898392617 1633.21253111168 -1198.48044450623 1735.60959317536 1758.87082486638
1643.72427027893 2346.91444843481 1648.37764626852 -1204.67389234802 1776.32884695541 1742.66005028144
1672.70304801738 2374.06958111596 1674.57340946353 -1215.45097947867 1787.86943045415 1762.12232118062
1811.16827022236 2356.82902850792 1578.61918949789 -1212.92501810868 1781.12387540334 1783.65165388378
