"drpm" "wddp" "lddp" "gmddp" "indcrp" "longcrp"
1672.25203688245 4539.94840644977 1554.21588483628 -2145.78054028441 3099.07386243841 2929.07378539683
1745.98515659431 4543.63221017552 1528.85256012479 -2149.41049439238 Inf 3046.04862187134
1752.93337808974 4540.07744306242 1606.21534020145 -2173.81900768382 3079.59091270143 2859.18454771114
1684.74462920294 4534.63410565902 1609.6935998207 -2139.22009154738 3100.08476971504 2576.3232131597
1614.69191247909 4520.80682730099 1578.85153294329 -2138.99081825575 3002.43683146768 2708.18291070891
1973.64061904037 4556.89494646607 1721.12684948259 -2197.17931972252 Inf 2933.73426046102
1741.08429906359 4508.97701503224 1557.9275709099 -2161.9660395966 Inf 2745.82916754239
1848.47774858462 4538.22164173859 1565.03783871785 -2157.02700870547 Inf 3022.50298981636
1601.18888128581 4501.8923919832 1574.68742069597 -2129.00604962938 Inf 2837.35375696666
1750.70972845024 4522.5469000202 1683.89017971146 -2154.5231991032 3091.27852375722 2912.57437762209
1768.18217456767 4516.10161528349 1527.10858807155 -2138.61622197087 Inf 2861.61602644238
1660.92517334714 4517.67274061741 1608.0273675198 -2173.61987897095 3060.06459424991 2908.31851013363
1857.77042035357 4516.40189041116 1643.18720652938 -2152.64622003931 3132.28852431361 Inf
1688.37809440585 4520.01517432273 1707.33710440655 -2186.06974299563 3078.79700628383 2895.66306815165
1674.21903854664 4500.69858931266 1604.94439041366 -2139.62158611681 Inf 2928.86047063346
1694.13847506076 4543.93603339529 1484.49235549339 -2167.03733567794 Inf 2899.51337547552
1866.58545677175 4534.60803513979 1672.04237414759 -2156.16836582808 Inf 2850.72077985623
1762.07218295363 4534.17135437373 1634.86441088361 -2155.79899911664 3098.34319960496 2886.95417272915
1673.43178999227 4527.75128343938 1606.04147396192 -2175.34448587198 3122.20153375221 3091.71004927495
2158.53924943713 4524.92512296985 1627.62884738791 -2149.58644765009 3109.28831533247 2811.31200934728
1671.36534739042 4534.9751149766 1612.56990096518 -2153.28466151713 Inf 2919.72027112377
1734.93666727355 4500.69344582373 1757.83136536013 -2154.22201919954 Inf 2907.80875102803
1643.85136096736 4520.34819982674 1418.38466334792 -2113.57659194829 3060.97099772028 2861.83661881235
1704.04993212966 4520.51885127491 1686.55318420004 -2175.82249128185 3104.65270604874 2903.64158964822
1651.59493530251 4528.29324169097 1606.64563338315 -2165.93831113622 3130.11541878206 2945.49396054756
2127.15246629892 4523.59761939161 1522.39786054744 -2151.54091078111 3111.35897703247 2842.18536504806
1523.61671734998 4526.59637525959 1546.26484058776 -2137.76375838516 3032.68660722556 2811.95424169829
1836.59386835631 4534.49584909615 1637.80746250885 -2177.12807150195 3141.15620103198 2919.70966637267
1633.92673176554 4531.41712167031 1612.12680398023 -2165.76113302804 Inf 2904.52340207704
1949.6259327952 4516.82812990638 1617.16362145945 -2156.127504595 3087.78939024808 2902.25834379331
1984.07624979651 4560.16904040459 1606.64564072291 -2197.4472434471 3138.21948273539 Inf
1750.82247908822 4534.24150723215 1493.86347301453 -2146.88000075162 3112.14659232163 2902.20355889811
1684.13617285242 4549.64066361063 1599.00107572953 -2148.83847827972 3007.81622415366 Inf
1683.15921989786 4531.52517804134 1484.65977949914 -2154.39113288625 Inf 2912.53002167363
1645.64632890096 4513.63687039004 1588.04525747194 -2161.62545789307 3124.06816704901 2904.95460980145
1632.07541493171 4536.29005189957 1648.99902800847 -2169.5752084226 3108.57308420298 2940.20721380112
1660.14842977772 4524.45326313214 1732.1876812582 -2174.59109351545 Inf 2456.98644893513
1656.16590116389 4518.11241251926 1598.32721520062 -2140.11051898728 2990.05800040139 2795.39447148903
1672.3204821846 4545.90361436914 1546.51432670425 -2154.91359299058 3092.16280911724 2945.34523528551
1924.07169152571 4519.97209210487 1665.09634379825 -2162.51769884142 3155.47507268539 2799.03982338133
1622.66749095141 4541.09751969731 1536.25455226508 -2153.52197665875 3126.20204196674 2860.32826329112
1880.32772460644 4531.57596841357 1619.22575270391 -2166.00703390255 Inf 3095.49301103936
1552.58858114804 4513.62515952218 1468.69019088019 -2138.05794895716 3059.76853586971 2759.22900585038
1713.7030639236 4508.63587729344 1522.68182319506 -2152.71330145892 Inf 2956.05528145588
1838.60759295982 4537.79957297444 1596.77365603183 -2169.35235632724 3135.13353490231 2906.30861348588
1828.09508937074 4533.87822519609 1646.02583437218 -2146.63263223989 3048.02822070657 2572.00348882565
1661.62637866424 4525.53564960984 1587.64222829322 -2150.55414910909 Inf 2846.6317298419
1743.16081709204 4521.75009039663 1489.50554633631 -2127.23948659308 Inf 2833.18930417276
1607.89391558216 4525.62895189611 1616.88399635235 -2157.56879845737 Inf Inf
1520.34150479488 4515.29231980721 1498.90473743911 -2129.32266977802 3078.44450577215 2881.25052623345
1852.6786895698 4504.68835212919 1512.41173423352 -2165.36822861671 3107.37152523878 2928.7362611492
1729.92926954721 4503.38349501007 1696.36724490739 -2169.1137803698 Inf 2960.47106054873
1578.14357192742 4520.67979897726 1496.70126492935 -2134.28068665445 3047.58944724594 2892.71790604106
1643.8062304009 4552.45954690356 1650.15980359211 -2148.73363290496 3130.19349467569 2933.95493463898
1643.41773906459 4533.28668496284 1589.1031457335 -2136.41836944296 Inf 2831.5112011403
1698.86912336426 4511.43785487123 1644.03078227583 -2164.21890896761 Inf 2874.89595151491
1747.63862752495 4531.66409515748 1556.61879370119 -2152.54428679738 3083.71036096914 2503.14675605353
1708.25889215748 4514.72693761224 1490.20866737884 -2154.82877544568 3156.61190609369 3024.67187370023
1715.91352856218 4516.24439601741 1587.88861515681 -2153.61232903105 Inf 2825.5457348986
1668.92007670004 4514.92872461601 1637.91537788899 -2162.99316284664 Inf 2844.89408361018
1628.87301166299 4476.44491128394 1572.94793451433 -2115.58821496265 3010.32217765583 2877.77884406623
1736.40916461017 4522.48830903093 1660.67792880343 -2171.1605439601 3084.76246868388 2538.47689189062
1606.079233203 4531.03343399279 1567.08578797465 -2133.14601480144 3124.63381986185 3010.72879084686
1686.98277132465 4531.54770189281 1604.51956844958 -2180.72247819355 Inf 2878.40671842278
1711.44348588045 4543.75202748666 1708.0704928847 -2190.4027839334 3135.19618508915 2575.34120611053
1732.47347058989 4520.10779349612 1463.01113773699 -2146.00653444368 Inf 2627.49771192308
1838.21310862819 4532.19116319009 1667.11621834538 -2160.1872038513 Inf 2944.44533162157
2040.73964394978 4527.62387611509 1612.50254575195 -2168.59619265958 3114.0686074858 2587.35843958058
2061.38111260244 4538.76091703307 1654.9399670824 -2188.91374651315 3091.27576355951 2891.99787264859
