"gamma" "alpha"
0.99090875 0.981745305149714
0.98757375 0.978188146860052
0.98912 0.979690036190591
0.98873875 0.978943150340176
0.9882225 0.978720919987745
0.990555 0.981051536455717
0.98862 0.979070727476488
0.98790125 0.978302658085986
0.98975125 0.979867250125898
0.99202125 0.982362206801795
0.98695375 0.977423907928007
0.99163375 0.982050961284997
0.98396 0.974782496594342
0.98970875 0.980085690704368
0.9929075 0.983179346619416
0.985895 0.976358547345379
0.99219 0.983035406346673
0.9932925 0.983437630597795
0.98364125 0.974229685373024
0.929345 0.920633516195085
0.9898275 0.980084634342753
0.98741125 0.977831239529919
0.98735375 0.977727350758218
0.9869 0.977236725715448
0.98955625 0.9798949209051
0.98916875 0.979550923718527
0.9873075 0.977709970773981
0.99234125 0.982821343398371
0.98941 0.980053588093745
0.99078375 0.981023418903379
0.99335 0.98354953422282
0.99288375 0.98319561772441
0.9889525 0.979295043283117
0.9890025 0.979375655883624
0.98940625 0.979635560069513
0.99008625 0.980521292437688
0.98653375 0.976975472476028
0.99226125 0.982672396565185
0.99414 0.984469303361602
0.986215 0.976964494142804
0.987355 0.977859130078585
0.9828225 0.973306131760007
0.989205 0.979525071341117
0.98759875 0.97799406445048
0.9901475 0.980387150584557
0.99296625 0.983175338300874
0.98793125 0.978380984637153
0.9910025 0.981245299014141
0.9917225 0.981827185036232
0.98884125 0.979204677649611
0.9918425 0.982246572513254
0.98773 0.978211541003424
0.99175375 0.982078019760545
0.98330375 0.973772476119169
0.98956625 0.979815800290069
0.8888625 0.881200985799143
0.989065 0.979274693256414
0.99402125 0.984379130988872
0.9916925 0.982182763418919
0.9874075 0.977828672232751
0.989 0.979260841468019
0.9916375 0.981597572320422
0.99152125 0.98194254984574
0.98914 0.979817560791166
0.98807 0.97834291738008
0.99307 0.983207218034713
0.98870625 0.979019675329199
0.9880825 0.97872810060205
0.9823875 0.972721187188386
0.99363375 0.984015308349142
0.98767 0.978168014818656
0.99009625 0.980115326195748
0.98768625 0.978282240257139
0.9899375 0.980330462930897
0.98647 0.976653331743602
0.98799 0.978280315574436
0.98940375 0.979893384741418
0.9927475 0.983100649548624
0.98936875 0.979457219503055
0.9921275 0.982329017303451
0.99401 0.984244850949515
0.99152375 0.982050664303247
0.98889875 0.979418906837262
0.99507625 0.985086186148715
0.9926375 0.982702684280627
0.9912875 0.98164881453689
0.9912525 0.981476242970347
0.9921425 0.982641231755091
0.99092375 0.981446230421845
0.9903775 0.980792278066269
0.99184 0.982307220138724
0.99049625 0.981068864993819
0.99232625 0.982665542860353
0.99094 0.981106591716385
0.9893275 0.979431221991729
0.98985625 0.98015358172728
0.98594 0.976820771613419
0.99311875 0.983523869838907
0.98889 0.979194936569839
0.98838875 0.978818596710203
