"gamma" "alpha"
0.811878888888889 0.805777295396513
0.771700555555556 0.766361813657923
0.838759444444445 0.832016209684797
0.847259444444444 0.840100358658023
0.79977 0.793795297360403
0.821198333333333 0.815034794667176
0.831882777777778 0.825316789930079
0.788824444444444 0.782933594268599
0.805509444444445 0.799755145903277
0.789738888888889 0.783656310263193
0.846795 0.84024888417284
0.779238333333333 0.773541937620738
0.794536666666667 0.788805243846113
0.807162777777778 0.801010392086486
0.765116111111111 0.760170863200971
0.776161666666667 0.770472202760027
0.759221111111111 0.75466307720673
0.827613333333333 0.820844910811573
0.816104444444444 0.810156364703394
0.830883888888889 0.824207839767296
0.845773888888889 0.838817412584329
0.785939444444444 0.780169354674263
0.789999444444444 0.783944708292147
0.818772222222222 0.812356680448538
0.757222222222222 0.752300132282009
0.816575555555555 0.81038666684601
0.783613888888889 0.778137100771609
0.790687777777778 0.784675033701941
0.824244444444444 0.818067267602985
0.828416111111111 0.822245143110636
0.804403333333333 0.798862803441747
0.832557777777778 0.825845140067691
0.809006666666667 0.803033933931924
0.792227222222222 0.78693878492996
0.825397222222222 0.81919719467159
0.840696666666667 0.833998465297984
0.796610555555556 0.790741590816328
0.835813888888889 0.829431850107056
0.836339444444444 0.829792209488079
0.817684444444444 0.811191018537261
0.787342777777778 0.781636406358176
0.84247 0.835420344012985
0.824627222222222 0.818690335158256
0.77329 0.767576481552729
0.832046666666667 0.825432612326108
0.836363333333333 0.830278694190169
0.807463333333333 0.801359722288627
0.839127777777778 0.832939446760357
0.813492777777778 0.807214430510757
0.834766666666667 0.828204033514809
0.780430555555556 0.775169908097265
0.807811666666667 0.801910885925183
0.863685 0.856826721012244
0.831092777777778 0.824017811517473
0.85746 0.850717498431191
0.785537222222222 0.779936110187338
0.807753888888889 0.801308033789376
0.801783333333333 0.795451050451786
0.837218888888889 0.830145842940834
0.830982777777778 0.825008628498685
0.780466111111111 0.775203419215393
0.820420555555556 0.814530382039125
0.838020555555556 0.830871715930641
0.832365555555556 0.825604279374169
0.789392222222222 0.783930419010629
0.830655 0.824161766658899
0.784345555555556 0.779048602934068
0.808706111111111 0.802508732887927
0.789728333333333 0.784455283924603
0.82906 0.822472381511981
0.805175555555556 0.799251201742504
0.774080555555556 0.769255335787551
0.789542222222222 0.7839478997902
0.804737777777778 0.798594344130453
0.788488333333333 0.782635448404411
0.852127777777778 0.845153655976905
0.821863333333333 0.815169320819943
0.808157222222222 0.801816709648322
0.811791111111111 0.805645176655308
0.808379444444444 0.802430363655925
0.797062222222222 0.791421937956546
0.82875 0.822176705051679
0.820112777777778 0.813765415695463
0.814317222222222 0.808207751235746
0.805735555555556 0.799247500750271
0.819187222222222 0.812736222310793
0.818822222222222 0.812780209673345
0.802556111111111 0.79654071065659
0.814663333333333 0.808192949927755
0.785486111111111 0.780031385808469
0.816995 0.811113771179418
0.825356111111111 0.819317021555127
0.820815 0.814680799899969
0.791209444444444 0.785975029061202
0.795766111111111 0.790057742677187
0.853889444444444 0.846737785159463
0.793807777777778 0.787787142566687
0.802965555555555 0.797022975593238
0.807946111111111 0.801390657745017
0.813013333333333 0.806898963835586
