"gamma" "alpha"
0.8076125 0.801505406166384
0.80110375 0.794822732426799
0.80912125 0.802550693231169
0.80715625 0.800852323868799
0.81452875 0.808720924565476
0.83029 0.823640933355366
0.80076625 0.794894240412841
0.82028 0.8144969115911
0.810065 0.803821790414725
0.79158625 0.786099775675572
0.81682 0.811332167302402
0.80947125 0.803509268403938
0.81819125 0.812104634166209
0.82855625 0.821699140210057
0.80371 0.797496219455136
0.8266525 0.820942044619679
0.82817125 0.821747789334364
0.8090475 0.802352913881211
0.7966175 0.790421036134292
0.7967175 0.790217816831608
0.81552375 0.809362317252013
0.8026625 0.79704941523689
0.787355 0.781533220741074
0.781645 0.775530337952016
0.81170375 0.806284446660815
0.81837125 0.811841334938107
0.78997 0.78484247448388
0.80782 0.801809770078708
0.80050125 0.794987645568001
0.82038 0.813893256126811
0.81222125 0.806169912136434
0.8432125 0.836088999586403
0.80747875 0.80117490366498
0.80487375 0.798740937995039
0.80225125 0.797041173498739
0.83396125 0.828015087772253
0.80444625 0.799161303342806
0.83034 0.823723663180754
0.795655 0.79030916804285
0.80288 0.796963080729837
0.82091875 0.814700826041452
0.81381125 0.808307692685186
0.797665 0.792245580595579
0.81157375 0.805935799693528
0.79274375 0.786447464608331
0.8160575 0.809792167367
0.81795875 0.812028121006497
0.793805 0.787981629855475
0.79925375 0.793392811407638
0.82580375 0.818640085643872
0.79404125 0.787373255406474
0.80742125 0.801420577557116
0.7990875 0.792715278651888
0.80371625 0.798517638306285
0.7937825 0.787968116579115
0.810235 0.804190765724444
0.8369625 0.830613220479397
0.830365 0.8235097719379
0.8097575 0.804791877396347
0.8064775 0.800538705941325
0.80481875 0.79872931704835
0.80164375 0.795416008014291
0.8024475 0.796383444786649
0.79274 0.787791613864294
0.80349375 0.797643702031391
0.80125875 0.795601207769769
0.80492 0.7994706064475
0.84883125 0.842509875718896
0.814155 0.808587519816557
0.81181125 0.805216912039129
0.7976625 0.792256227422521
0.82083125 0.814399542648882
0.79052375 0.784915853665116
0.80843125 0.802299412018162
0.81551125 0.809077524897562
0.8008 0.794591472130071
0.80624375 0.800464349484591
0.827855 0.821908977971198
0.8369875 0.83059253227135
0.80016625 0.794802334694787
0.80920625 0.802739471344833
0.8009 0.79491970653194
0.79260625 0.786833399128717
0.81433 0.808028612235889
0.81668 0.810215654844206
0.7952675 0.789203307887756
0.78972375 0.783717101116644
0.8134475 0.806629529003667
0.79170625 0.785840311139057
0.81013125 0.803588441603394
0.79000625 0.784309888269431
0.808165 0.80219607841866
0.80055 0.794184300776758
0.79879375 0.7926805680005
0.83884625 0.831630943352027
0.8128025 0.806124606732757
0.8098925 0.803582028471224
0.8365775 0.830171834862222
0.81687125 0.810469766685844
0.8052675 0.799194858050379
