"DepPartLPML" "DepPartWAIC" "IndPartLPML" "IndPartWAIC"
-467.97954511793 922.980675384741 -514.169601549618 949.786870906707
-390.620621123808 776.10247733507 -512.893115759573 851.787168459101
-399.005000850386 767.386084325776 -459.521140054238 820.99266785443
-421.215885635558 832.123544291975 -466.441530567555 873.885039734448
-411.923030333826 809.542016595268 -538.038963520116 985.529340449358
-397.331447516065 787.456480471483 -488.036105451392 907.830394993944
-377.176028480098 749.66822549133 -417.797340171118 800.050915624992
-496.122579813593 888.68987000868 -519.379640421187 964.6858089553
-469.373390527558 921.5576029953 -506.340105757777 927.334039071499
-487.102346921342 961.078389530669 -569.668437062312 1094.05592479465
-357.35593550037 710.006341758201 -448.721231499007 795.516624822094
-385.63600045654 754.867084437405 -458.386493630109 872.023666074486
-396.265904208918 734.947714741719 -447.386250535832 768.822594268731
-389.271296357037 771.251975479327 -443.718202827382 838.273916218348
-391.972178884317 735.534260269785 -483.456096766783 777.654530228578
-364.581103203049 722.805805088952 -388.229831316982 757.06192510614
-437.700876687765 862.123257310294 -522.028865110422 996.614431625352
-433.930139710797 856.984473400844 -494.911141642766 912.618911306016
-355.602619246798 709.19915278262 -377.18940565461 738.392670466603
-387.372571674945 769.872751495426 -461.905247895611 895.131630541106
-389.72074482222 763.843270953686 -579.657857069428 852.96397046628
-368.77353548525 732.895302278366 -448.535672405709 833.871899026315
-358.276450254242 711.724928032754 -401.66934012347 778.272841215006
-378.010193785598 743.125696494181 -448.343035646952 862.767281325427
-791.302669913601 749.348438356393 -836.798566230373 831.485604601426
-463.863091447906 792.168994544431 -582.235024948755 827.420867148079
-401.678314278988 790.836856544267 -486.492179347063 905.500979127825
-375.361729394814 740.468177131307 -446.435550255839 797.930564614329
-397.471926469243 783.022742611137 -592.345514791228 907.363645167663
-421.918948719895 828.133003554582 -493.654643140632 905.4798812563
-365.687811463474 723.856005771835 -428.724109147758 801.172862258611
-418.224056342155 822.408444003743 -484.566576802649 913.687575923583
-394.416808158887 788.527204245918 -525.12158815584 866.478074037551
-431.883292341897 868.826567578272 -490.839454684251 932.083954888777
-391.123953975485 778.636776834921 -411.519161849619 789.579988108378
-403.728588300137 778.167387863828 -479.591895752861 825.960034146407
-396.578675335556 776.533967450053 -495.165575983424 921.299836701906
-394.876838678418 759.508735462233 -517.877366283261 977.557889117979
-410.542129348079 803.94791479444 -594.21607521128 1079.61657149374
-390.772695729311 758.793902833196 -484.947540360154 898.698606934786
-451.007958367514 888.339934834805 -501.872310881141 937.224582207302
-438.736488804729 871.292677812245 -472.132293520688 881.906883235148
-447.153600147945 835.781579701373 -490.870788466529 871.755252667493
-954.538559931922 823.874276491743 -617.048947397455 1030.63523154554
-371.20849956602 734.841434665719 -480.266670644299 899.364887367589
-408.857195694185 806.688328992679 -424.590251034266 822.441929156971
-368.468648079563 732.901299147391 -477.115723829939 886.110432228032
-402.577651355203 793.495847971357 -471.565853276517 886.577187796202
-438.583584036296 864.423933295201 -539.812192416157 1023.2329540404
-529.940146901426 741.06429076653 -436.703878249207 761.139335482354
-390.959479874053 778.508883377514 -452.91246274251 825.653668915431
-373.872999852911 747.982735334701 -646.759037889559 802.607834852634
-394.78802888668 772.321691954278 -472.90942395633 870.306910043503
-541.956831720836 860.500568673856 -529.161100210868 971.610549608787
-504.90713130348 1005.97065831209 -529.335977650721 999.118712211881
-349.313647536351 698.657315974995 -433.296670714133 776.841696651301
-370.406313272391 729.494593438935 -485.056700788357 900.372201331156
-395.360146272331 787.257907555811 -435.605016733967 844.473384926879
-391.80146745277 773.325338388307 -446.565514351233 867.501561412592
-371.919191933122 741.987077873543 -443.836002196947 851.542100627789
-398.347207961894 787.899843557761 -491.565298537895 914.397498926344
-365.4535010183 733.135754719145 -393.423919444885 750.68348359375
-481.24256231662 788.462396885017 -510.410541259674 940.607877081685
-534.922221955423 1048.33634670167 -563.843045299205 1046.97004916542
-401.909144779247 792.481782804529 -483.489172461034 911.703701977672
-393.541503092752 771.034827682482 -555.816749278976 853.682322343301
-460.248738389384 913.766045366875 -536.053297485359 977.334385836374
-400.735686149454 791.270617712746 -525.584907494286 851.948382114696
-393.764323865015 778.53205507351 -528.296491407919 986.992258079416
-396.099331820038 728.345177916547 -447.867863834901 766.21848886493
-373.07054571404 740.602360787424 -420.33214341082 800.744348113388
-383.273384275219 765.461578769352 -571.708834319023 894.812755260041
-388.891457497456 778.85418207551 -414.682127346916 811.150442476876
-383.573816982303 746.036213123775 -374.181182158467 759.983398325628
-933.129774358867 791.764784358087 -556.137289512488 1026.65371763875
-438.31326821456 869.472779927237 -564.663568278006 1072.6501963974
-373.182866118091 742.661416904586 -424.590853392984 779.338563940141
-436.451640743906 857.748022585516 -502.98377344818 966.478393222825
-388.111964785919 769.948473833398 -489.393981123025 786.511399827464
-387.385935764695 762.041760091597 -459.617063943297 884.863538690974
-360.966286114983 724.279380122609 -363.323975211636 734.661992149567
-432.232235681148 858.084995399288 -525.025016869993 982.333150067317
-391.633222609507 748.464501584757 -451.981796987859 841.927332865805
-406.400877165437 796.329841754723 -461.868852314922 858.882797458859
-407.075866829753 793.056723637944 -531.548843264165 1029.23883431312
-345.803429112825 683.661434625478 -425.888018980798 738.320658911161
-364.506851082724 721.257736333058 -482.46682174917 845.936356734253
-366.787474320931 720.350643420131 -483.990084943987 879.917431187794
-448.801064908398 879.729175273818 -603.229043014552 1084.52616093705
-393.196288746586 772.931681725051 -482.921612869648 897.363143708893
-397.864575931173 782.339613045388 -515.304535795844 809.477666727583
-506.022662132747 957.667986076912 -659.107749492531 1231.19885513104
-451.571146535262 895.389800532638 -503.03657630187 930.07918104701
-483.70545822885 947.402932231348 -566.325111351349 1043.24040085565
-397.01755721669 780.632508266637 -494.014860297126 856.244614985546
-415.839766358233 821.616077479173 -501.52331783543 915.364019007584
-399.273890281175 786.237579969768 -448.576419652573 824.504599626711
-395.215647150382 780.692227829112 -554.907853783871 1067.24400700276
-403.026630486826 802.666438114042 -450.84737013942 850.717355007602
-386.952372623069 750.126690345374 -463.313489785196 835.340322415503
